19:36:48 [INFO   ] === Torchlight Infinite Bot V2 v4.0.0 starting ===
19:36:49 [INFO   ] Config loaded from config.json
19:36:49 [INFO   ] Loaded 8 addresses from addresses.json
19:36:49 [INFO   ] [Input] Initialized with mode: hardware
19:36:49 [INFO   ] [ScaleCalibrator] Loaded calibrations for 12 maps: ['Swirling Mines', 'High Court Maze', 'Defiled Side Chamber', 'Deserted District', 'Singing Sand', 'Shadow Outpost', 'Abandoned Mines', 'Rainforest of Divine Legacy', 'Grimwind Woods', 'Wall of the Last Breath', 'Blustery Canyon', 'Demiman Village']
19:36:49 [INFO   ] [MapSelector] Loaded card state: 12 cards, active=[]
19:36:50 [INFO   ] Torchlight Infinite Bot V2 v4.0.0 started
19:36:50 [INFO   ] [Hotkeys] Global hotkeys registered: F9=Start, F10=Stop, F11=Pause, F5=Record, F6=PauseRec
19:36:53 [INFO   ] Attached to process: torchlight_infinite.exe (PID: 22352)
19:36:53 [INFO   ] Attached to torchlight_infinite.exe
19:36:53 [INFO   ] Found game window by class 'UnrealWindow' + PID 22352 (HWND: 459624)
19:36:53 [INFO   ] [Input] Target window set: HWND=459624, mode=hardware
19:36:53 [INFO   ] [Input] Hardware mode: will focus window before each input
19:36:53 [DEBUG  ] Module torchlight_infinite.exe base: 0x7FF7D77E0000
19:36:53 [INFO   ] Saved addresses valid - skipping scan: WARNING: WARNING: coordinates unchanged (may be stale or character is stationary) | pos=(420, -190)
19:36:53 [INFO   ] [Scanner] Scanning for FNamePool...
19:36:53 [INFO   ] [Scanner] Cannot read zone name - FNamePool not resolved yet
19:36:53 [INFO   ] [Scanner]   Trying FNamePool pattern 1/6...
19:36:53 [DEBUG  ] Config saved
19:36:53 [INFO   ] [MapDetect] Auto-detected map: 'Singing Sand' from position (420, -190)
19:36:53 [INFO   ] [Scanner] Cannot read zone name - FNamePool not resolved yet
19:36:54 [INFO   ] [ZoneWatcher] Started — will auto-scan walkable area on map entry
19:36:54 [INFO   ] [Input] Target window set: HWND=459624, mode=hardware
19:36:54 [INFO   ] [Input] Hardware mode: will focus window before each input
19:36:54 [INFO   ] [AddrMgr] Attached - using scan results from attach
19:36:54 [INFO   ] [Scanner]   FNamePool found at 0x7FF7DF501D40 (pattern 1)
19:36:54 [INFO   ] [Scanner]   Validation: 3/5 indices readable, FName[3] = 'ByteProperty'
19:36:54 [INFO   ] [Scanner] Scanning for GObjects...
19:36:54 [INFO   ] [Scanner]   Trying GObjects pattern 1/3...
19:36:54 [INFO   ] [Scanner] Zone FName[2920999] = 'DD_TingYuanMiGong200' (GWorld 0x2F1B7D7A4C0)
19:36:54 [INFO   ] [Scanner]   Trying GObjects pattern 2/3...
19:36:54 [INFO   ] [Scanner]   GObjects found at 0x7FF7DF51ADE8 (pattern 2)
19:36:54 [INFO   ] [Scanner]   NumElements=170349, NumChunks=3
19:36:54 [INFO   ] Portal detector initialized (deferred)
19:36:54 [INFO   ] [AddrMgr] FNamePool auto-populated: 0x7FF7DF501D40
19:36:55 [INFO   ] [Overlay] Loaded calibration for map: High Court Maze
19:36:55 [INFO   ] [Overlay] Debug overlay started
19:36:55 [DEBUG  ] [GObjects] NumElements=170349, NumChunks=3
19:36:56 [INFO   ] [ZoneWatcher] Entered 'High Court Maze' — auto-scanning walkable area
19:36:56 [DEBUG  ] [GObjects] Found 2 objects named 'FightMgr'
19:36:56 [INFO   ] [Scanner] [Scanner] FightMgr live instance at 0x2F1D75340C0 (outer: /Engine/Transient)
19:36:56 [DEBUG  ] [UE4 Scanner] [typed_event] MapCustomTrap Sandlord arena class='EMapCustomTrap' pos=(11939,-215)
19:36:56 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xb → Carjack (pos match) vehicle_pos=(12192,11272)
19:36:56 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xc → Sandlord (platform pos assigned) platform=(11939,-215)
19:36:56 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xd → Unknown (ignored) pos=(0,0)
19:36:56 [INFO   ] [WallScan] No cache for 'High Court Maze' — reading MinimapSaveObject (zone='DD_TingYuanMiGong200')
19:36:56 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:36:56 [DEBUG  ] [GObjects] Found 2 instances of class 'MinimapSaveObject'
19:36:56 [DEBUG  ] [MinimapScan] Found 2 MinimapSaveObject candidate(s)
19:36:56 [DEBUG  ] [MinimapScan]   Skipping CDO: 'Default__MinimapSaveObject' @ 0x2F0BD740480
19:36:56 [DEBUG  ] [MinimapScan]   Candidate 'MinimapSaveObject' @ 0x2F1B7FC1500, outer='/Engine/Transient'
19:36:56 [INFO   ] [MinimapScan] MinimapSaveObject live instance at 0x2F1B7FC1500 (outer: /Engine/Transient)
19:36:56 [DEBUG  ] [MinimapScan] Records TMap @ 0x2F1B7FC1528: data_ptr=0x2F16487BF00, array_num=1 (stride=0xD8 bytes/entry)
19:36:56 [DEBUG  ] [MinimapScan] Looking for zone 'DD_TingYuanMiGong200' in 1 TMap entries (key_map has 1 cached entries: [('5302_0', 'GeBuLinCunLuo01')])
19:36:56 [DEBUG  ] [MinimapScan]   entry[0]: raw bytes [0x00..0x2F] = 90 d0 7d d1 f1 02 00 00 07 00 00 00 08 00 00 00 4a 4f 9f 69 00 00 00 00 70 00 42 c7 f1 02 00 00 01 00 00 00 04 00 00 00 00 bf 95 b6 f1 02 00 00
19:36:56 [DEBUG  ] [MinimapScan]   entry[0]: key='5307_0' | pos_count=1 | pos_ptr=0x2F1C7420070 | cached_zone='<unknown>'
19:36:56 [INFO   ] [MinimapScan] Auto-learned key mapping: '5307_0' → 'DD_TingYuanMiGong200' (saved to data/minimap_key_map.json)
19:36:56 [DEBUG  ] [MinimapScan] Matched entry[0] key='5307_0' via auto-detect (single entry '5307_0', no cached mapping) — learning '5307_0' → 'DD_TingYuanMiGong200' — Pos TArray @ 0x2F1C7420070, declared count=1
19:36:56 [INFO   ] [MinimapScan] ✓ 1 valid visited positions (0 zero-origin filtered) for 'DD_TingYuanMiGong200' | X:[420..420]  Y:[-190..-190]  span=(0×0) world units
19:36:56 [INFO   ] [WallScan] MinimapSaveObject: 1 visited positions for 'High Court Maze' in 0.50s — building walkable-area cache
19:36:56 [INFO   ] [WallScan] Saved 1 visited-position points for 'High Court Maze'
19:36:56 [INFO   ] [WallScan] Walkable grid built from 1 visited points in 0.000s: GridData(200×200 cells, cell=150u, walkable=32/40000, mode=inverted(visited→walkable))
19:36:56 [INFO   ] [Pathfinder] Grid installed: GridData(200×200 cells, cell=150u, walkable=32/40000, mode=inverted(visited→walkable))
19:36:56 [INFO   ] [WallScan] A* grid ready: GridData(200×200 cells, cell=150u, walkable=32/40000, mode=inverted(visited→walkable))
19:36:58 [INFO   ] [ZoneWatcher] Scan #1 for 'High Court Maze' (2s in map, cache=1 pts)
19:36:58 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:36:58 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:00 [INFO   ] [ZoneWatcher] Scan #2 for 'High Court Maze' (4s in map, cache=1 pts)
19:37:00 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:00 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:02 [INFO   ] [ZoneWatcher] Scan #3 for 'High Court Maze' (6s in map, cache=1 pts)
19:37:02 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:02 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:04 [INFO   ] [ZoneWatcher] Scan #4 for 'High Court Maze' (8s in map, cache=1 pts)
19:37:04 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:04 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:06 [INFO   ] [ZoneWatcher] Scan #5 for 'High Court Maze' (10s in map, cache=1 pts)
19:37:06 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:06 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:08 [INFO   ] [ZoneWatcher] Scan #6 for 'High Court Maze' (12s in map, cache=1 pts)
19:37:08 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:08 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:10 [INFO   ] [ZoneWatcher] Scan #7 for 'High Court Maze' (14s in map, cache=1 pts)
19:37:10 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:10 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:12 [INFO   ] [ZoneWatcher] Scan #8 for 'High Court Maze' (16s in map, cache=1 pts)
19:37:12 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:12 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:14 [INFO   ] [ZoneWatcher] Scan #9 for 'High Court Maze' (18s in map, cache=1 pts)
19:37:14 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:14 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:16 [INFO   ] [ZoneWatcher] Scan #10 for 'High Court Maze' (20s in map, cache=1 pts)
19:37:16 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:16 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:18 [INFO   ] [ZoneWatcher] Scan #11 for 'High Court Maze' (22s in map, cache=1 pts)
19:37:18 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:18 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:20 [INFO   ] [ZoneWatcher] Scan #12 for 'High Court Maze' (24s in map, cache=1 pts)
19:37:20 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:20 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:22 [INFO   ] [ZoneWatcher] Scan #13 for 'High Court Maze' (26s in map, cache=1 pts)
19:37:22 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:22 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:24 [INFO   ] [Explorer] Started (300s session)
19:37:24 [INFO   ] [Explorer] Starting 300s exploration from (420, -190) — zone watcher collects data in parallel
19:37:24 [INFO   ] [ZoneWatcher] Scan #14 for 'High Court Maze' (28s in map, cache=1 pts)
19:37:24 [INFO   ] [Input] Hardware mouse move: client(952,569) -> screen(1584,724)
19:37:24 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:24 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:24 [INFO   ] [Input] Hardware click right at (952,569)
19:37:24 [INFO   ] [Explorer] Target #1: (9563, -4267) — timeout=15s | 300s remaining
19:37:24 [INFO   ] [Navigator] Navigating to position (9563, -4267)
