22:07:56 [INFO   ] === Torchlight Infinite Bot V2 v4.6.0 starting ===
22:07:58 [INFO   ] Config loaded from config.json
22:07:58 [INFO   ] Loaded 8 addresses from addresses.json
22:07:58 [INFO   ] [Input] Initialized with mode: hardware
22:07:58 [INFO   ] [ScaleCalibrator] Loaded calibrations for 12 maps: ['Swirling Mines', 'High Court Maze', 'Defiled Side Chamber', 'Deserted District', 'Singing Sand', 'Shadow Outpost', 'Abandoned Mines', 'Rainforest of Divine Legacy', 'Grimwind Woods', 'Wall of the Last Breath', 'Blustery Canyon', 'Demiman Village']
22:07:58 [INFO   ] [MapSelector] Loaded card state: 12 cards, active=[]
22:07:59 [INFO   ] Torchlight Infinite Bot V2 v4.6.0 started
22:07:59 [INFO   ] [Hotkeys] Global hotkeys registered: F9=Start, F10=Stop, F11=Pause, F5=Record, F6=PauseRec
22:08:02 [INFO   ] Attached to process: torchlight_infinite.exe (PID: 22352)
22:08:02 [INFO   ] Attached to torchlight_infinite.exe
22:08:02 [INFO   ] Found game window by class 'UnrealWindow' + PID 22352 (HWND: 459624)
22:08:02 [INFO   ] [Input] Target window set: HWND=459624, mode=hardware
22:08:02 [INFO   ] [Input] Hardware mode: will focus window before each input
22:08:02 [DEBUG  ] Module torchlight_infinite.exe base: 0x7FF7D77E0000
22:08:02 [INFO   ] Saved addresses valid - skipping scan: WARNING: WARNING: coordinates unchanged (may be stale or character is stationary) | pos=(1506, -2421)
22:08:02 [INFO   ] [Scanner] Scanning for FNamePool...
22:08:02 [INFO   ] [Scanner] Cannot read zone name - FNamePool not resolved yet
22:08:02 [INFO   ] [Scanner]   Trying FNamePool pattern 1/6...
22:08:02 [INFO   ] [ZoneWatcher] Started — will auto-scan walkable area on map entry
22:08:02 [INFO   ] [Input] Target window set: HWND=459624, mode=hardware
22:08:02 [INFO   ] [Input] Hardware mode: will focus window before each input
22:08:02 [INFO   ] [AddrMgr] Attached - using scan results from attach
22:08:02 [INFO   ] [Scanner]   FNamePool found at 0x7FF7DF501D40 (pattern 1)
22:08:02 [INFO   ] [Scanner]   Validation: 3/5 indices readable, FName[3] = 'ByteProperty'
22:08:02 [INFO   ] [Scanner] Scanning for GObjects...
22:08:02 [INFO   ] [Scanner]   Trying GObjects pattern 1/3...
22:08:02 [INFO   ] [Scanner]   Trying GObjects pattern 2/3...
22:08:03 [INFO   ] [Scanner] Zone FName[1444051] = 'XZ_YuJinZhiXiBiNanSuo200' (GWorld 0x2F100571BE0)
22:08:03 [INFO   ] [Scanner]   GObjects found at 0x7FF7DF51ADE8 (pattern 2)
22:08:03 [INFO   ] [Scanner]   NumElements=171242, NumChunks=3
22:08:03 [INFO   ] Portal detector initialized (deferred)
22:08:03 [INFO   ] [AddrMgr] FNamePool auto-populated: 0x7FF7DF501D40
22:08:08 [INFO   ] [Overlay] No calibration for map: Embers Rest — use 'Calibrate Scale' button
22:08:08 [INFO   ] [Overlay] Debug overlay started
22:08:08 [DEBUG  ] [GObjects] NumElements=171242, NumChunks=3
22:08:08 [DEBUG  ] [GObjects] Found 2 objects named 'FightMgr'
22:08:08 [INFO   ] [Scanner] [Scanner] FightMgr live instance at 0x2F1A48540C0 (outer: /Engine/Transient)
22:08:12 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1E5D0EDC0)
22:08:12 [INFO   ] [Scanner] Zone FName[1444051] = 'XZ_YuJinZhiXiBiNanSuo200' (GWorld 0x2F100571BE0)
22:08:12 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1E5D0EDC0)
22:08:13 [INFO   ] [Scanner] Zone FName[1444051] = 'XZ_YuJinZhiXiBiNanSuo200' (GWorld 0x2F100571BE0)
22:08:14 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1E5D0EDC0)
22:08:14 [INFO   ] [Scanner] Zone FName[1444051] = 'XZ_YuJinZhiXiBiNanSuo200' (GWorld 0x2F100571BE0)
22:08:14 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1E5D0EDC0)
22:08:14 [INFO   ] [Scanner] Zone FName[1444051] = 'XZ_YuJinZhiXiBiNanSuo200' (GWorld 0x2F100571BE0)
22:08:14 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1E5D0EDC0)
22:08:14 [INFO   ] [Scanner] Zone FName[1444051] = 'XZ_YuJinZhiXiBiNanSuo200' (GWorld 0x2F100571BE0)
22:08:15 [INFO   ] [Overlay] Switched calibration to map: Singing Sand
22:08:15 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:15 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:16 [DEBUG  ] [GObjects] Found 1 instances of class 'EGameplay'
22:08:16 [DEBUG  ] [GObjects] NumElements=171242, NumChunks=3
22:08:16 [INFO   ] [ZoneWatcher] Entered 'Defiled Side Chamber' — auto-scanning walkable area + starting position sampler
22:08:16 [DEBUG  ] [GObjects] Found 2 objects named 'FightMgr'
22:08:16 [INFO   ] [Scanner] [Scanner] FightMgr live instance at 0x2F207D550B0 (outer: /Engine/Transient)
22:08:17 [INFO   ] [WallScan] Cache hit: 434 visited-position points for 'Defiled Side Chamber'
22:08:17 [INFO   ] [WallScan] Walkable grid built from 434 visited points in 0.016s: GridData(94×83 cells, cell=150u, walkable=1090/7802, mode=inverted(visited→walkable))
22:08:17 [INFO   ] [Pathfinder] Grid installed: GridData(94×83 cells, cell=150u, walkable=1090/7802, mode=inverted(visited→walkable))
